Company,Ticker,Date,Price,Type
Meta,META,Nov 2024,$571.56,Historical
Meta,META,Dec 2024,$583.17,Historical
Meta,META,Jan 2025,$686.43,Historical
Meta,META,Feb 2025,$665.53,Historical
Meta,META,Mar 2025,$574.57,Historical
Meta,META,Apr 2025,$547.29,Historical
Meta,META,May 2025,$645.48,Historical
Meta,META,Jun 2025,$736.36,Historical
Meta,META,Jul 2025,$771.63,Historical
Meta,META,Aug 2025,$736.97,Historical
Meta,META,Sep 2025,$733.15,Historical
Meta,META,Oct 2025,$647.27,Historical
Meta,META,Nov 2025,$646.87,Historical
Meta,META,Dec 2025,$659.53,Historical
Meta,META,Jan 2026,$715.89,Historical
Meta,META,Feb 2026,$647.63,Historical
Meta,META,Mar 2026,$615.68,Historical
Meta,META,Mar 2026,$91.02,Forecast
Meta,META,Apr 2026,$102.90,Forecast
Meta,META,May 2026,$115.74,Forecast
Meta,META,Jun 2026,$103.30,Forecast
Meta,META,Jul 2026,$107.72,Forecast
Meta,META,Aug 2026,$100.88,Forecast
Meta,META,Sep 2026,$115.81,Forecast
Meta,META,Oct 2026,$103.85,Forecast
Meta,META,Nov 2026,$102.92,Forecast
Meta,META,Dec 2026,$87.70,Forecast
Meta,META,Jan 2027,$92.86,Forecast
Meta,META,Feb 2027,$101.23,Forecast
Meta,META,Mar 2027,$111.55,Forecast
Meta,META,Apr 2027,$97.37,Forecast
Meta,META,May 2027,$105.34,Forecast
Meta,META,Jun 2027,$103.07,Forecast
Meta,META,Jul 2027,$99.30,Forecast
Meta,META,Aug 2027,$81.25,Forecast
Amazon,AMZN,Mar 2021,$154.70,Historical
Amazon,AMZN,Apr 2021,$173.37,Historical
Amazon,AMZN,May 2021,$161.15,Historical
Amazon,AMZN,Jun 2021,$172.01,Historical
Amazon,AMZN,Jul 2021,$166.38,Historical
Amazon,AMZN,Aug 2021,$173.54,Historical
Amazon,AMZN,Sep 2021,$164.25,Historical
Amazon,AMZN,Oct 2021,$168.62,Historical
Amazon,AMZN,Nov 2021,$175.35,Historical
Amazon,AMZN,Dec 2021,$166.72,Historical
Amazon,AMZN,Jan 2022,$149.57,Historical
Amazon,AMZN,Feb 2022,$153.56,Historical
Amazon,AMZN,Mar 2022,$163.00,Historical
Amazon,AMZN,Apr 2022,$124.28,Historical
Amazon,AMZN,May 2022,$120.21,Historical
Amazon,AMZN,Jun 2022,$106.21,Historical
Amazon,AMZN,Jul 2022,$134.95,Historical
Amazon,AMZN,Aug 2022,$126.77,Historical
Amazon,AMZN,Sep 2022,$113.00,Historical
Amazon,AMZN,Oct 2022,$102.44,Historical
Amazon,AMZN,Nov 2022,$96.54,Historical
